nombre_producto,descripcion_producto,precio_venta,es_combo,esta_disponible,imagen_catalogo,registro_movimiento_inicial
Perro chorizo clasico,Chorizo a la plancha en pan brioche,15900,0,1,productos/perro-chorizo-clasico.jpg,
Perro chorizo premium,Chorizo premium con cebolla caramelizada,18900,0,1,productos/perro-chorizo-premium.jpg,
Perro ranchero,Chorizo con tocineta y salsa BBQ,19900,0,1,productos/perro-ranchero.jpg,
Perro costeno,Chorizo con queso costeno y suero,17900,0,1,productos/perro-costeno.jpg,
Perro picante,Chorizo picante con jalapenos y cheddar,18500,0,1,productos/perro-picante.jpg,
Perro mexicano,Chorizo con guacamole y pico de gallo,20500,0,1,productos/perro-mexicano.jpg,
Perro doble chorizo,Doble porcion de chorizo y queso mozzarella,22900,0,1,productos/perro-doble-chorizo.jpg,
Perro vegetariano,Salchicha vegetal con vegetales frescos,16900,0,1,productos/perro-vegetariano.jpg,
Papa francesa personal,Porcion personal de papa francesa crocante,8900,0,1,productos/papa-francesa-personal.jpg,
Papa francesa grande,Porcion grande para compartir,13900,0,1,productos/papa-francesa-grande.jpg,
Aros de cebolla,Porcion de aros de cebolla apanados,9900,0,1,productos/aros-cebolla.jpg,
Nuggets de pollo 8 und,Porcion de 8 nuggets con salsa de la casa,12900,0,1,productos/nuggets-pollo-8.jpg,
Arepita con queso,Arepa asada con queso gratinado,6500,0,1,productos/arepita-queso.jpg,
Gaseosa 400ml,Bebida gaseosa personal 400ml,4500,0,1,productos/gaseosa-400.jpg,
Limonada natural,Limonada natural refrescante,7000,0,1,productos/limonada-natural.jpg,
Jugo de mango,Jugo natural de mango en agua,7500,0,1,productos/jugo-mango.jpg,
Combo clasico,Perro clasico + papa personal + gaseosa 400ml,24900,1,1,productos/combo-clasico.jpg,
Combo premium,Perro premium + papa personal + bebida,27900,1,1,productos/combo-premium.jpg,
Combo pareja,2 perros clasicos + papa grande + 2 bebidas,49900,1,1,productos/combo-pareja.jpg,
Combo familiar 4 personas,4 perros + papa grande + 4 gaseosas,89900,1,1,productos/combo-familiar-4.jpg,
Combo fiesta 6 personas,6 perros mixtos + 2 papas grandes + 6 bebidas,129900,1,1,productos/combo-fiesta-6.jpg,
Postre brownie,Brownie caliente con topping de chocolate,9900,0,1,productos/postre-brownie.jpg,
